Input	Match type	Approved symbol	Approved name	HGNC ID	Location
ACAP2	Approved symbol	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	HGNC:16469	3q29
ACAT1	Approved symbol	ACAT1	acetyl-CoA acetyltransferase 1	HGNC:93	11q22.3
ACAT2	Approved symbol	ACAT2	acetyl-CoA acetyltransferase 2	HGNC:94	6q25.3
ACAT2	Synonyms	SOAT2	sterol O-acyltransferase 2	HGNC:11178	12q13.13
ACBD4	Approved symbol	ACBD4	acyl-CoA binding domain containing 4	HGNC:23337	17q21.31
ACBD6	Approved symbol	ACBD6	acyl-CoA binding domain containing 6	HGNC:23339	1q25.3
ACBD7	Approved symbol	ACBD7	acyl-CoA binding domain containing 7	HGNC:17715	10p13
ACD	Approved symbol	ACD	adrenocortical dysplasia homolog (mouse)	HGNC:25070	16q22
ACIN1	Approved symbol	ACIN1	apoptotic chromatin condensation inducer 1	HGNC:17066	14q11.2
ACLY	Approved symbol	ACLY	ATP citrate lyase	HGNC:115	17q21.2
ACO1	Approved symbol	ACO1	aconitase 1, soluble	HGNC:117	9p21.1
ACO2	Approved symbol	ACO2	aconitase 2, mitochondrial	HGNC:118	22q13.2
ACOT1	Approved symbol	ACOT1	acyl-CoA thioesterase 1	HGNC:33128	14q24.3
ACOT13	Approved symbol	ACOT13	acyl-CoA thioesterase 13	HGNC:20999	6p22.1
ACOT2	Approved symbol	ACOT2	acyl-CoA thioesterase 2	HGNC:18431	14q24.3
ACOT4	Approved symbol	ACOT4	acyl-CoA thioesterase 4	HGNC:19748	14q24.1
ACOT7	Approved symbol	ACOT7	acyl-CoA thioesterase 7	HGNC:24157	1p36
ACOT8	Approved symbol	ACOT8	acyl-CoA thioesterase 8	HGNC:15919	20q13.12
ACOX1	Approved symbol	ACOX1	acyl-CoA oxidase 1, palmitoyl	HGNC:119	17q25.1
ACOX3	Approved symbol	ACOX3	acyl-CoA oxidase 3, pristanoyl	HGNC:121	4p15.3
ACP2	Approved symbol	ACP2	acid phosphatase 2, lysosomal	HGNC:123	11p11.2
ACP5	Approved symbol	ACP5	acid phosphatase 5, tartrate resistant	HGNC:124	19p13.2
ACSF2	Approved symbol	ACSF2	acyl-CoA synthetase family member 2	HGNC:26101	17q21.33
ACSF3	Approved symbol	ACSF3	acyl-CoA synthetase family member 3	HGNC:27288	16q24.3
ACSM1	Approved symbol	ACSM1	acyl-CoA synthetase medium-chain family member 1	HGNC:18049	16p12.3
ACSM2A	Approved symbol	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	HGNC:32017	16p12.3
ACSM2B	Approved symbol	ACSM2B	acyl-CoA synthetase medium-chain family member 2B	HGNC:30931	16p12.3
ACSM3	Approved symbol	ACSM3	acyl-CoA synthetase medium-chain family member 3	HGNC:10522	16p13.11
ACSS2	Approved symbol	ACSS2	acyl-CoA synthetase short-chain family member 2	HGNC:15814	20q11.22
ACTB	Approved symbol	ACTB	actin, beta	HGNC:132	7p22
ACTG1	Approved symbol	ACTG1	actin gamma 1	HGNC:144	17q25
ACTL6A	Approved symbol	ACTL6A	actin-like 6A	HGNC:24124	3q26.33
ACTN1	Approved symbol	ACTN1	actinin, alpha 1	HGNC:163	14q24.1
ACTN2	Approved symbol	ACTN2	actinin, alpha 2	HGNC:164	1q42-q43
ACTN4	Approved symbol	ACTN4	actinin, alpha 4	HGNC:166	19q13
ACTR10	Approved symbol	ACTR10	actin-related protein 10 homolog (S. cerevisiae)	HGNC:17372	14q23.1
ACTR1A	Approved symbol	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	HGNC:167	10q24
ACTR1B	Approved symbol	ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)	HGNC:168	2q11.2
ACTR3	Approved symbol	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	HGNC:170	2q14.1
ACTR3B	Approved symbol	ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)	HGNC:17256	7q36.1
ACTR3C	Approved symbol	ACTR3C	ARP3 actin-related protein 3 homolog C (yeast)	HGNC:37282	7q36.1
ACTR5	Approved symbol	ACTR5	ARP5 actin-related protein 5 homolog (yeast)	HGNC:14671	20q12
ACTR8	Approved symbol	ACTR8	ARP8 actin-related protein 8 homolog (yeast)	HGNC:14672	3p21.31
ACVR1	Approved symbol	ACVR1	activin A receptor, type I	HGNC:171	2q23-q24
ACVR1B	Approved symbol	ACVR1B	activin A receptor, type IB	HGNC:172	12q13
ACY1	Approved symbol	ACY1	aminoacylase 1	HGNC:177	3p21.2
ADAM10	Approved symbol	ADAM10	ADAM metallopeptidase domain 10	HGNC:188	15q2
ADAM11	Approved symbol	ADAM11	ADAM metallopeptidase domain 11	HGNC:189	17q21.3
ADAM15	Approved symbol	ADAM15	ADAM metallopeptidase domain 15	HGNC:193	1q21.3
ADAM17	Approved symbol	ADAM17	ADAM metallopeptidase domain 17	HGNC:195	2p25
ADAM28	Approved symbol	ADAM28	ADAM metallopeptidase domain 28	HGNC:206	8p21.2
ADAM33	Approved symbol	ADAM33	ADAM metallopeptidase domain 33	HGNC:15478	20p13
ADAM9	Approved symbol	ADAM9	ADAM metallopeptidase domain 9	HGNC:216	8p11.23
ADAMTS17	Approved symbol	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif, 17	HGNC:17109	15q24
ADAMTSL4	Approved symbol	ADAMTSL4	ADAMTS-like 4	HGNC:19706	1q21.2
ADAMTSL5	Approved symbol	ADAMTSL5	ADAMTS-like 5	HGNC:27912	19p13.3
ADAR	Approved symbol	ADAR	adenosine deaminase, RNA-specific	HGNC:225	1q21.3
ADARB1	Approved symbol	ADARB1	adenosine deaminase, RNA-specific, B1	HGNC:226	21q22.3
ADAT1	Approved symbol	ADAT1	adenosine deaminase, tRNA-specific 1	HGNC:228	16q23
ADAT2	Approved symbol	ADAT2	adenosine deaminase, tRNA-specific 2	HGNC:21172	6q24.2
ADCK1	Approved symbol	ADCK1	aarF domain containing kinase 1	HGNC:19038	14q24
ADCK2	Approved symbol	ADCK2	aarF domain containing kinase 2	HGNC:19039	7q34
ADCK4	Approved symbol	ADCK4	aarF domain containing kinase 4	HGNC:19041	19q13.2
ADCY7	Approved symbol	ADCY7	adenylate cyclase 7	HGNC:238	16q12.1
ADCY9	Approved symbol	ADCY9	adenylate cyclase 9	HGNC:240	16p13.3
ADD1	Approved symbol	ADD1	adducin 1 (alpha)	HGNC:243	4p16.3
ADH5	Approved symbol	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	HGNC:253	4q23
ADI1	Approved symbol	ADI1	acireductone dioxygenase 1	HGNC:30576	2p25.2
ADIPOR1	Approved symbol	ADIPOR1	adiponectin receptor 1	HGNC:24040	1q32.1
ADIPOR2	Approved symbol	ADIPOR2	adiponectin receptor 2	HGNC:24041	12p13
ADORA2A	Approved symbol	ADORA2A	adenosine A2a receptor	HGNC:263	22q11.23
ADORA2B	Approved symbol	ADORA2B	adenosine A2b receptor	HGNC:264	17p12
ADPGK	Approved symbol	ADPGK	ADP-dependent glucokinase	HGNC:25250	15q24.1
ADPRHL1	Approved symbol	ADPRHL1	ADP-ribosylhydrolase like 1	HGNC:21303	13q34
ADPRHL2	Approved symbol	ADPRHL2	ADP-ribosylhydrolase like 2	HGNC:21304	1p34.3
ADRBK1	Approved symbol	ADRBK1	adrenergic, beta, receptor kinase 1	HGNC:289	11q13
ADRBK2	Approved symbol	ADRBK2	adrenergic, beta, receptor kinase 2	HGNC:290	22q11
ADRM1	Approved symbol	ADRM1	adhesion regulating molecule 1	HGNC:15759	20q13.33
ADSL	Approved symbol	ADSL	adenylosuccinate lyase	HGNC:291	22q13.1
ADSSL1	Approved symbol	ADSSL1	adenylosuccinate synthase like 1	HGNC:20093	14q32.33
AEBP2	Approved symbol	AEBP2	AE binding protein 2	HGNC:24051	12p12.3
AEN	Approved symbol	AEN	apoptosis enhancing nuclease	HGNC:25722	15q26.1
AFAP1	Approved symbol	AFAP1	actin filament associated protein 1	HGNC:24017	4p16
AFF2	Approved symbol	AFF2	AF4/FMR2 family, member 2	HGNC:3776	Xq28
AFG3L2	Approved symbol	AFG3L2	AFG3-like AAA ATPase 2	HGNC:315	18p11.21
AFMID	Approved symbol	AFMID	arylformamidase	HGNC:20910	17q25.3
AGA	Approved symbol	AGA	aspartylglucosaminidase	HGNC:318	4q34.3
AGAP1	Approved symbol	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	HGNC:16922	2q37
AGAP3	Approved symbol	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	HGNC:16923	7q36.1
AGAP4	Approved symbol	AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	HGNC:23459	10q11.21
AGAP5	Approved symbol	AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	HGNC:23467	10q22.2
AGAP6	Approved symbol	AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	HGNC:23466	10q11.23
AGBL5	Approved symbol	AGBL5	ATP/GTP binding protein-like 5	HGNC:26147	2p23.3
AGER	Approved symbol	AGER	advanced glycosylation end product-specific receptor	HGNC:320	6p21.3
AGFG2	Approved symbol	AGFG2	ArfGAP with FG repeats 2	HGNC:5177	7q22.1
AGGF1	Approved symbol	AGGF1	angiogenic factor with G patch and FHA domains 1	HGNC:24684	5q13.3
AGK	Approved symbol	AGK	acylglycerol kinase	HGNC:21869	7q34
AGMAT	Approved symbol	AGMAT	agmatine ureohydrolase (agmatinase)	HGNC:18407	1p36.13
AGPAT2	Approved symbol	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	HGNC:325	9q34.3
AGPAT3	Approved symbol	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	HGNC:326	21q22.3
AGPAT5	Approved symbol	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	HGNC:20886	8p23.1
AGPAT6	Approved symbol	AGPAT6	1-acylglycerol-3-phosphate O-acyltransferase 6	HGNC:20880	8p11.21
AGPS	Approved symbol	AGPS	alkylglycerone phosphate synthase	HGNC:327	2q
AGR3	Approved symbol	AGR3	anterior gradient 3	HGNC:24167	7p21.1
AGTPBP1	Approved symbol	AGTPBP1	ATP/GTP binding protein 1	HGNC:17258	9q21.33
AGTRAP	Approved symbol	AGTRAP	angiotensin II receptor-associated protein	HGNC:13539	1p36.22
AHCY	Approved symbol	AHCY	adenosylhomocysteinase	HGNC:343	20q11.22
AHCYL1	Approved symbol	AHCYL1	adenosylhomocysteinase-like 1	HGNC:344	1p13
AHCYL2	Approved symbol	AHCYL2	adenosylhomocysteinase-like 2	HGNC:22204	7q32.1
AHDC1	Approved symbol	AHDC1	AT hook, DNA binding motif, containing 1	HGNC:25230	1p36.13
AHI1	Approved symbol	AHI1	Abelson helper integration site 1	HGNC:21575	6q23.2
AHR	Approved symbol	AHR	aryl hydrocarbon receptor	HGNC:348	7p15
AHSA1	Approved symbol	AHSA1	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)	HGNC:1189	14q
AHSG	Approved symbol	AHSG	alpha-2-HS-glycoprotein	HGNC:349	3q27.3
AIDA	Approved symbol	AIDA	axin interactor, dorsalization associated	HGNC:25761	1q41
AIF1L	Approved symbol	AIF1L	allograft inflammatory factor 1-like	HGNC:28904	9q34.13-q34.3
AIFM2	Approved symbol	AIFM2	apoptosis-inducing factor, mitochondrion-associated, 2	HGNC:21411	10q22.2
AIG1	Approved symbol	AIG1	androgen-induced 1	HGNC:21607	6q24.1
AIM1	Approved symbol	AIM1	absent in melanoma 1	HGNC:356	6q21
AIM1L	Approved symbol	AIM1L	absent in melanoma 1-like	HGNC:17295	1p35
AIMP1	Approved symbol	AIMP1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	HGNC:10648	4q24
AIMP2	Approved symbol	AIMP2	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2	HGNC:20609	7p22.1
AIP	Approved symbol	AIP	aryl hydrocarbon receptor interacting protein	HGNC:358	11q13.3
AIP	Synonyms	AURKAIP1	aurora kinase A interacting protein 1	HGNC:24114	1p36.33
AK1	Approved symbol	AK1	adenylate kinase 1	HGNC:361	9q34.1
AK2	Approved symbol	AK2	adenylate kinase 2	HGNC:362	1p35.1
AK3	Approved symbol	AK3	adenylate kinase 3	HGNC:17376	9p24.1
AK3	Previous symbol	AK4	adenylate kinase 4	HGNC:363	1p31.3
AKAP1	Approved symbol	AKAP1	A kinase (PRKA) anchor protein 1	HGNC:367	17q22
AKAP10	Approved symbol	AKAP10	A kinase (PRKA) anchor protein 10	HGNC:368	17p11.1
AKAP13	Approved symbol	AKAP13	A kinase (PRKA) anchor protein 13	HGNC:371	15q24-q25
AKAP7	Approved symbol	AKAP7	A kinase (PRKA) anchor protein 7	HGNC:377	6q23.2
AKAP8	Approved symbol	AKAP8	A kinase (PRKA) anchor protein 8	HGNC:378	19p13.12
AKAP8L	Approved symbol	AKAP8L	A kinase (PRKA) anchor protein 8-like	HGNC:29857	19p13.12
AKAP9	Approved symbol	AKAP9	A kinase (PRKA) anchor protein 9	HGNC:379	7q21-q22
AKIRIN1	Approved symbol	AKIRIN1	akirin 1	HGNC:25744	1p34.3
AKIRIN2	Approved symbol	AKIRIN2	akirin 2	HGNC:21407	6q15
AKNA	Approved symbol	AKNA	AT-hook transcription factor	HGNC:24108	9q32
AKR1A1	Approved symbol	AKR1A1	aldo-keto reductase family 1, member A1 (aldehyde reductase)	HGNC:380	1p33-p32
AKR1B1	Approved symbol	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	HGNC:381	7q35
AKR7A2	Approved symbol	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	HGNC:389	1p36.13
AKR7A3	Approved symbol	AKR7A3	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)	HGNC:390	1p36.13
AKR7L	Approved symbol	AKR7L	aldo-keto reductase family 7-like (gene/pseudogene)	HGNC:24056	1p36.1-p35
AKT1	Approved symbol	AKT1	v-akt murine thymoma viral oncogene homolog 1	HGNC:391	14q32.33
AKT1S1	Approved symbol	AKT1S1	AKT1 substrate 1 (proline-rich)	HGNC:28426	19q13.33
AKT2	Approved symbol	AKT2	v-akt murine thymoma viral oncogene homolog 2	HGNC:392	19q13.1-q13.2
AKTIP	Approved symbol	AKTIP	AKT interacting protein	HGNC:16710	16q12.2
ALAD	Approved symbol	ALAD	aminolevulinate dehydratase	HGNC:395	9q32
ALAS1	Approved symbol	ALAS1	5'-aminolevulinate synthase 1	HGNC:396	3p21
ALDH16A1	Approved symbol	ALDH16A1	aldehyde dehydrogenase 16 family, member A1	HGNC:28114	19q13.33
ALDH18A1	Approved symbol	ALDH18A1	aldehyde dehydrogenase 18 family, member A1	HGNC:9722	10q24.1
ALDH1B1	Approved symbol	ALDH1B1	aldehyde dehydrogenase 1 family, member B1	HGNC:407	9p13
ALDH3A2	Approved symbol	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	HGNC:403	17p11.2
ALDH3B2	Approved symbol	ALDH3B2	aldehyde dehydrogenase 3 family, member B2	HGNC:411	11q13.2
ALDH4A1	Approved symbol	ALDH4A1	aldehyde dehydrogenase 4 family, member A1	HGNC:406	1p36
ALDH5A1	Approved symbol	ALDH5A1	aldehyde dehydrogenase 5 family, member A1	HGNC:408	6p22
ALDH6A1	Approved symbol	ALDH6A1	aldehyde dehydrogenase 6 family, member A1	HGNC:7179	14q24.3
ALDH7A1	Approved symbol	ALDH7A1	aldehyde dehydrogenase 7 family, member A1	HGNC:877	5q31
ALDH8A1	Approved symbol	ALDH8A1	aldehyde dehydrogenase 8 family, member A1	HGNC:15471	6q24.1-q25.1
ALDOA	Approved symbol	ALDOA	aldolase A, fructose-bisphosphate	HGNC:414	16p11.2
ALDOC	Approved symbol	ALDOC	aldolase C, fructose-bisphosphate	HGNC:418	17q11.2
ALG1	Approved symbol	ALG1	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase	HGNC:18294	16p13.3
ALG10	Approved symbol	ALG10	ALG10, alpha-1,2-glucosyltransferase	HGNC:23162	12p11.21
ALG10B	Approved symbol	ALG10B	ALG10B, alpha-1,2-glucosyltransferase	HGNC:31088	12q12
ALG11	Approved symbol	ALG11	ALG11, alpha-1,2-mannosyltransferase	HGNC:32456	13q14.3
ALG14	Approved symbol	ALG14	ALG14, UDP-N-acetylglucosaminyltransferase subunit	HGNC:28287	1p21.3
ALG1L2	Approved symbol	ALG1L2	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase-like 2	HGNC:37258	3q22.1
ALG2	Approved symbol	ALG2	ALG2, alpha-1,3/1,6-mannosyltransferase	HGNC:23159	9q31.1
ALG3	Approved symbol	ALG3	ALG3, alpha-1,3- mannosyltransferase	HGNC:23056	3q27.3
ALG5	Approved symbol	ALG5	ALG5, dolichyl-phosphate beta-glucosyltransferase	HGNC:20266	13q13.1
ALG9	Approved symbol	ALG9	ALG9, alpha-1,2-mannosyltransferase	HGNC:15672	11q23
ALKBH1	Approved symbol	ALKBH1	alkB, alkylation repair homolog 1 (E. coli)	HGNC:17911	14q24
ALKBH2	Approved symbol	ALKBH2	alkB, alkylation repair homolog 2 (E. coli)	HGNC:32487	12q24.11
ALKBH3	Approved symbol	ALKBH3	alkB, alkylation repair homolog 3 (E. coli)	HGNC:30141	11p11.2
ALKBH4	Approved symbol	ALKBH4	alkB, alkylation repair homolog 4 (E. coli)	HGNC:21900	7q22.1
ALKBH5	Approved symbol	ALKBH5	AlkB family member 5, RNA demethylase	HGNC:25996	17p11.2
ALKBH6	Approved symbol	ALKBH6	alkB, alkylation repair homolog 6 (E. coli)	HGNC:28243	19q13.12
ALKBH7	Approved symbol	ALKBH7	alkB, alkylation repair homolog 7 (E. coli)	HGNC:21306	19p13.3
ALKBH8	Approved symbol	ALKBH8	alkB, alkylation repair homolog 8 (E. coli)	HGNC:25189	11q22.3
ALMS1	Approved symbol	ALMS1	Alstrom syndrome 1	HGNC:428	2p13.1
ALOX12	Approved symbol	ALOX12	arachidonate 12-lipoxygenase	HGNC:429	17p13.1
ALOX12B	Approved symbol	ALOX12B	arachidonate 12-lipoxygenase, 12R type	HGNC:430	17p13.1
ALOX12P2	Approved symbol	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2	HGNC:432	17p13.1
ALPK1	Approved symbol	ALPK1	alpha-kinase 1	HGNC:20917	4q26
ALPK3	Approved symbol	ALPK3	alpha-kinase 3	HGNC:17574	15q25.2
ALS2	Approved symbol	ALS2	amyotrophic lateral sclerosis 2 (juvenile)	HGNC:443	2q33.1
ALS2CL	Approved symbol	ALS2CL	ALS2 C-terminal like	HGNC:20605	3p21.31
ALX3	Approved symbol	ALX3	ALX homeobox 3	HGNC:449	1p13.3
AMACR	Approved symbol	AMACR	alpha-methylacyl-CoA racemase	HGNC:451	5p13.2
AMBRA1	Approved symbol	AMBRA1	autophagy/beclin-1 regulator 1	HGNC:25990	11p11.2
AMD1	Approved symbol	AMD1	adenosylmethionine decarboxylase 1	HGNC:457	6q21
AMDHD2	Approved symbol	AMDHD2	amidohydrolase domain containing 2	HGNC:24262	16p13.3
AMFR	Approved symbol	AMFR	autocrine motility factor receptor, E3 ubiquitin protein ligase	HGNC:463	16q21
AMIGO3	Approved symbol	AMIGO3	adhesion molecule with Ig-like domain 3	HGNC:24075	3p21
AMMECR1	Approved symbol	AMMECR1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1	HGNC:467	Xq22.3
AMMECR1L	Approved symbol	AMMECR1L	AMMECR1-like	HGNC:28658	2q21
AMN1	Approved symbol	AMN1	antagonist of mitotic exit network 1 homolog (S. cerevisiae)	HGNC:27281	12p11.21
AMOTL1	Approved symbol	AMOTL1	angiomotin like 1	HGNC:17811	11q21
AMOTL2	Approved symbol	AMOTL2	angiomotin like 2	HGNC:17812	3q21-q22
AMPD2	Approved symbol	AMPD2	adenosine monophosphate deaminase 2	HGNC:469	1p13.3
AMPD3	Approved symbol	AMPD3	adenosine monophosphate deaminase 3	HGNC:470	11p15
AMT	Approved symbol	AMT	aminomethyltransferase	HGNC:473	3p21.31
AMZ1	Approved symbol	AMZ1	archaelysin family metallopeptidase 1	HGNC:22231	7p22.3
AMZ2	Approved symbol	AMZ2	archaelysin family metallopeptidase 2	HGNC:28041	17q24.2
AMZ2P1	Approved symbol	AMZ2P1	archaelysin family metallopeptidase 2 pseudogene 1	HGNC:26491	17q24.1
ANAPC10	Approved symbol	ANAPC10	anaphase promoting complex subunit 10	HGNC:24077	4q31
ANAPC11	Approved symbol	ANAPC11	anaphase promoting complex subunit 11	HGNC:14452	17q25.3
ANAPC13	Approved symbol	ANAPC13	anaphase promoting complex subunit 13	HGNC:24540	3q22.1
ANAPC16	Approved symbol	ANAPC16	anaphase promoting complex subunit 16	HGNC:26976	10q22.2
ANAPC2	Approved symbol	ANAPC2	anaphase promoting complex subunit 2	HGNC:19989	9q34.3
ANAPC5	Approved symbol	ANAPC5	anaphase promoting complex subunit 5	HGNC:15713	12q24.31
ANAPC7	Approved symbol	ANAPC7	anaphase promoting complex subunit 7	HGNC:17380	12q13.12
ANGEL1	Approved symbol	ANGEL1	angel homolog 1 (Drosophila)	HGNC:19961	14q24.3
ANGEL2	Approved symbol	ANGEL2	angel homolog 2 (Drosophila)	HGNC:30534	1q32.3
ANGPT1	Approved symbol	ANGPT1	angiopoietin 1	HGNC:484	8q23.1
ANGPT4	Approved symbol	ANGPT4	angiopoietin 4	HGNC:487	20p13
ANGPTL1	Approved symbol	ANGPTL1	angiopoietin-like 1	HGNC:489	1q25.2
ANGPTL6	Approved symbol	ANGPTL6	angiopoietin-like 6	HGNC:23140	19p13.2
ANKFY1	Approved symbol	ANKFY1	ankyrin repeat and FYVE domain containing 1	HGNC:20763	17p13.3
ANKHD1	Approved symbol	ANKHD1	ankyrin repeat and KH domain containing 1	HGNC:24714	5q31.3
